fire_area_threshold,smoke_area_threshold,macro_f1,accuracy
0.005,0.01,0.16440420933716446,0.3005555555555556
0.005,0.02,0.1652199074074074,0.31722222222222224
0.005,0.04,0.16552706552706553,0.3227777777777778
0.005,0.08,0.1665253039298841,0.32722222222222225
0.005,0.12,0.16694867456288776,0.3288888888888889
0.01,0.01,0.15919067627672948,0.26666666666666666
0.01,0.02,0.16440420933716446,0.3005555555555556
0.01,0.04,0.1652199074074074,0.31722222222222224
0.01,0.08,0.16552706552706553,0.3227777777777778
0.01,0.12,0.16617042393307813,0.32555555555555554
0.02,0.01,0.14513437950937952,0.21444444444444444
0.02,0.02,0.15919067627672948,0.26666666666666666
0.02,0.04,0.16440420933716446,0.3005555555555556
0.02,0.08,0.1652199074074074,0.31722222222222224
0.02,0.12,0.16516387576928582,0.32055555555555554
0.04,0.01,0.1305487240892241,0.17166666666666666
0.04,0.02,0.14513437950937952,0.21444444444444444
0.04,0.04,0.15919067627672948,0.26666666666666666
0.04,0.08,0.16440420933716446,0.3005555555555556
0.04,0.12,0.16501254259135437,0.3111111111111111
0.08,0.01,0.13015733181736763,0.1622222222222222
0.08,0.02,0.1305487240892241,0.17166666666666666
0.08,0.04,0.14513437950937952,0.21444444444444444
0.08,0.08,0.15919067627672948,0.26666666666666666
0.08,0.12,0.1621054607119637,0.29055555555555557
