method,split,accuracy,macro_precision,macro_recall,macro_f1,support
colour+morphology,val,0.3288888888888889,0.11186696900982616,0.3288888888888889,0.16694867456288776,1800
colour+morphology,test,0.3288888888888889,0.11186696900982616,0.3288888888888889,0.16694867456288776,1800
HOG+LBP+colour RBF-SVM,val,0.8877777777777778,0.8882445258238866,0.8877777777777777,0.887886916899422,1800
HOG+LBP+colour RBF-SVM,test,0.8877777777777778,0.8882445258238866,0.8877777777777777,0.887886916899422,1800
LBP+GLCM+Contours Random Forest,val,0.8666666666666667,0.8662908689646658,0.8666666666666667,0.8664685536593035,1800
LBP+GLCM+Contours Random Forest,test,0.8666666666666667,0.8662908689646658,0.8666666666666667,0.8664685536593035,1800
Extra Trees,val,0.8544444444444445,0.8546862412421851,0.8544444444444443,0.8545061857262861,1800
Extra Trees,test,0.8544444444444445,0.8546862412421851,0.8544444444444443,0.8545061857262861,1800
XGBoost,val,0.8788888888888889,0.8789806950040576,0.8788888888888889,0.8788992894888205,1800
XGBoost,test,0.8788888888888889,0.8789806950040576,0.8788888888888889,0.8788992894888205,1800
LightGBM,val,0.8827777777777778,0.8832948310682044,0.8827777777777778,0.8829659020658372,1800
LightGBM,test,0.8827777777777778,0.8832948310682044,0.8827777777777778,0.8829659020658372,1800
